"employee_id","performance_group","yrs_employed","manager_hire","test_score","group_size","concern_flag","mobile_flag","customers","high_hours_flag","transfers","reduced_schedule","city"
"c4578853","Bottom",4.6,"N",205,10,"N","N",12,"N",0,"Y","San Francisco"
"a7d7afd6","Middle",5.3,"N",227,14,"N","Y",18,"N",0,"N","New York"
"272b93f1","Bottom",5.2,"N",227,10,"N","N",12,"N",0,"Y","Chicago"
"be8b6baa","Middle",4.9,"N",273,19,"N","N",26,"Y",0,"N","New York"
"a18ecc4e","Bottom",4.9,"N",227,17,"Y","N",26,"Y",5,"Y","Orlando"
"d665821e","Middle",4.3,"N",159,10,"N","N",18,"N",0,"Y","Orlando"
"18c20092","Middle",4.8,"N",250,13,"N","N",22,"N",0,"N","New York"
"dcc07942","Middle",5,"N",326,13,"N","N",16,"N",3,"N","Toronto"
"d0f9c863","Middle",4.4,"N",152,10,"N","N",20,"Y",0,"Y","Chicago"
"b2724d1d","Middle",4.5,"N",326,11,"N","N",28,"Y",0,"Y","Chicago"
"3ee66efc","Bottom",4,"N",409,11,"N","N",16,"N",2,"N","Toronto"
"5ad93121","Top",4.4,"N",273,11,"N","N",26,"Y",2,"Y","San Francisco"
"df8ea053","Middle",4.7,"N",333,8,"N","N",12,"Y",0,"N","Toronto"
"aac0beb4","Bottom",4.7,"N",250,13,"N","Y",18,"N",2,"Y","San Francisco"
"28ca8384","Bottom",5.1,"N",220,11,"N","Y",24,"N",3,"Y","Orlando"
"91881f0c","Bottom",4.8,"N",273,5,"N","Y",18,"N",0,"N","Toronto"
"863a7a40","Middle",5,"N",205,15,"N","N",20,"Y",0,"N","Toronto"
"5700c368","Bottom",3.8,"N",356,9,"N","N",16,"N",0,"N","Toronto"
"c08d54a7","Bottom",5.3,"N",174,10,"N","Y",18,"N",0,"Y","Toronto"
"6b14f9f8","Middle",4.4,"N",144,11,"N","N",16,"N",2,"N","New York"
"0f2e5ec9","Bottom",5,"N",189,9,"N","Y",20,"N",2,"N","Toronto"
"e9f0029e","Middle",5.2,"N",273,17,"N","N",26,"Y",2,"N","New York"
"2cc30425","Bottom",4.8,"N",159,8,"Y","N",20,"N",0,"N","Toronto"
"fa29684c","Middle",5.2,"N",220,13,"N","N",22,"N",0,"N","New York"
"fccc1bc6","Middle",2.8,"Y",212,10,"N","N",20,"N",0,"Y","San Francisco"
"3c308b87","Middle",4.3,"N",76,8,"N","N",16,"N",0,"N","Toronto"
"927c317d","Middle",5.2,"N",288,11,"Y","N",24,"N",0,"N","New York"
"f6992c92","Middle",4.7,"N",318,13,"N","N",26,"Y",2,"N","Toronto"
"15a8065a","Middle",3.9,"N",121,10,"N","N",14,"N",2,"Y","Houston"
"e947a5a0","Middle",5.6,"N",379,12,"N","N",20,"Y",0,"N","Toronto"
"809f2737","Middle",4.5,"N",280,10,"N","N",16,"N",0,"N","New York"
"1b6e0be9","Bottom",5,"Y",212,7,"Y","Y",22,"Y",0,"N","Toronto"
"152259c9","Middle",4,"N",265,9,"N","Y",22,"N",0,"N","Toronto"
"e7a60e03","Middle",4.9,"N",227,11,"N","N",28,"Y",0,"N","Toronto"
"98780af0","Middle",4.5,"Y",265,21,"N","Y",26,"Y",0,"N","Toronto"
"198e1a78","Middle",4.4,"N",250,10,"N","N",10,"N",0,"N","Toronto"
"94b28814","Bottom",4.2,"N",258,13,"N","Y",14,"N",2,"Y","San Francisco"
"82bf75f4","Middle",4.8,"N",295,15,"N","N",22,"N",0,"Y","Toronto"
"dde1999b","Middle",4.9,"N",152,8,"N","N",20,"N",0,"Y","Orlando"
"bd1fd772","Middle",4.7,"N",182,11,"N","N",24,"N",0,"N","Toronto"
"5f32922b","Middle",3.9,"N",220,13,"N","N",20,"N",0,"N","New York"
"8e130c8f","Middle",4.3,"N",242,12,"N","N",22,"N",0,"Y","Houston"
"acfde6d2","Bottom",5.3,"N",136,11,"N","N",12,"N",0,"N","Toronto"
"1c2e4596","Middle",4.9,"N",303,9,"Y","N",18,"Y",0,"Y","Houston"
"98f131d7","Middle",4.2,"N",341,10,"N","N",16,"N",0,"N","Toronto"
"830d00c3","Middle",4.3,"N",424,17,"N","N",20,"Y",0,"N","New York"
"65a9dfdd","Bottom",4.5,"N",235,8,"N","Y",14,"N",0,"N","Toronto"
"f15a18ce","Middle",4.8,"N",167,11,"N","Y",16,"N",2,"Y","Houston"
"4c9b3876","Middle",4.6,"N",409,9,"Y","N",18,"N",0,"N","New York"
"52204196","Middle",5.2,"N",205,11,"N","N",16,"N",0,"Y","Chicago"
"5acf99c0","Middle",4.9,"N",265,17,"N","N",20,"Y",2,"N","New York"
"c444de08","Bottom",4.6,"N",182,10,"N","N",28,"N",0,"N","Toronto"
"70d7c0fd","Bottom",4.9,"Y",220,13,"N","N",20,"N",0,"N","Toronto"
"9123572e","Top",4,"N",212,10,"N","N",14,"N",0,"N","Toronto"
"e10c2095","Middle",5.3,"N",167,12,"N","Y",22,"Y",2,"N","New York"
"e22e5998","Middle",4.9,"N",144,11,"N","N",16,"N",0,"N","New York"
"2450d532","Middle",4,"N",189,14,"N","N",18,"N",0,"N","New York"
"fff52bc6","Middle",4.7,"N",379,15,"N","N",16,"N",2,"Y","San Francisco"
"6640964f","Middle",4.7,"N",424,15,"N","N",24,"Y",2,"N","Toronto"
"20a898a5","Middle",5,"N",174,17,"N","N",16,"Y",0,"N","New York"
"1bb4fc5e","Middle",4,"N",212,13,"N","N",28,"N",5,"N","New York"
"637e8a0f","Middle",4.2,"N",220,13,"N","N",34,"Y",3,"N","Toronto"
"0e7a60a8","Middle",4.2,"N",205,10,"N","N",24,"Y",2,"N","New York"
"bc6a88b5","Middle",5.3,"N",265,13,"N","Y",20,"Y",0,"N","Chicago"
"04d0de08","Middle",4.4,"N",356,11,"N","Y",16,"N",2,"N","Toronto"
"63496c55","Middle",5.3,"N",242,11,"N","Y",24,"N",2,"Y","San Francisco"
"694626f7","Bottom",5.5,"N",174,14,"Y","Y",20,"N",0,"N","Toronto"
"88c707b9","Middle",4.5,"N",91,11,"N","Y",22,"N",3,"Y","San Francisco"
"07e9e2c2","Middle",4.7,"N",91,11,"N","N",16,"N",0,"N","Toronto"
"f48bce78","Top",5.4,"Y",295,22,"Y","N",24,"N",0,"N","New York"
"737a170c","Middle",4.3,"Y",136,15,"N","N",26,"N",2,"Y","Orlando"
"d80c241e","Middle",4.8,"N",258,13,"N","N",22,"N",0,"N","Chicago"
"551ba7ea","Middle",4.6,"N",265,13,"N","N",18,"N",0,"N","Toronto"
"602410d1","Middle",4,"N",265,11,"N","N",18,"N",0,"N","New York"
"2b450c6b","Middle",5,"N",333,11,"N","Y",20,"N",0,"Y","San Francisco"
"bd135c46","Middle",4.4,"N",303,11,"N","Y",20,"N",2,"Y","New York"
"f7ab67cc","Middle",4.6,"N",189,14,"N","N",18,"N",0,"N","New York"
"85ce72be","Middle",4.3,"N",205,11,"N","N",20,"N",0,"Y","Houston"
"c922d25a","Middle",4.3,"N",212,13,"Y","N",22,"Y",2,"N","New York"
"04de1f43","Middle",4.7,"N",159,11,"N","Y",22,"N",0,"N","Chicago"
"9a25b086","Bottom",5.4,"N",311,17,"Y","N",24,"N",3,"N","Chicago"
"bf0381d0","Middle",5.3,"N",242,17,"Y","N",30,"Y",2,"N","Toronto"
"61a0762d","Middle",4.6,"N",242,8,"N","N",24,"N",0,"N","Toronto"
"e12db0d2","Bottom",4.7,"N",303,14,"N","N",24,"Y",0,"N","New York"
"0bd3f3df","Middle",3.9,"N",38,18,"Y","N",24,"N",2,"Y","Houston"
"b3725db2","Middle",4.4,"N",182,9,"N","N",16,"N",0,"N","Toronto"
"0f4d1cff","Top",4,"N",386,14,"N","Y",22,"Y",3,"Y","San Francisco"
"00d6fdfd","Bottom",4.2,"N",106,11,"N","N",28,"Y",3,"Y","Chicago"
"149d37b2","Middle",5,"N",235,12,"N","N",22,"Y",2,"N","Toronto"
"27644867","Middle",4.5,"N",273,10,"N","Y",24,"Y",3,"Y","Orlando"
"c50b1a62","Middle",2.8,"Y",129,11,"N","N",22,"Y",2,"Y","Orlando"
"01462797","Middle",4.6,"N",167,17,"N","N",26,"Y",3,"N","New York"
"80daf581","Middle",4.1,"N",212,8,"N","Y",22,"N",2,"N","Chicago"
"f1b5d0a0","Middle",4.1,"N",189,11,"N","Y",18,"N",0,"Y","San Francisco"
"6d1d3f94","Bottom",5,"N",144,11,"N","Y",26,"N",2,"Y","San Francisco"
"d2960031","Bottom",4.8,"N",379,10,"N","N",14,"N",0,"N","Chicago"
"865387d8","Bottom",4.8,"N",174,11,"Y","N",20,"N",2,"N","New York"
"3b4dd5df","Middle",5,"N",280,18,"N","N",20,"Y",2,"N","New York"
"9210bf78","Bottom",5.1,"N",265,13,"N","Y",22,"N",2,"N","Chicago"
"5046ef5b","Middle",4.6,"N",235,9,"N","N",20,"N",0,"N","Toronto"
"dde23585","Middle",4.6,"N",227,11,"N","Y",20,"N",2,"Y","Houston"
"4222521e","Middle",5.7,"N",326,18,"Y","N",16,"N",0,"N","Toronto"
"c76ebafe","Middle",4.9,"N",167,10,"Y","N",22,"Y",0,"N","Toronto"
"2b65a8b7","Middle",4.4,"N",242,15,"N","N",20,"N",0,"N","New York"
"64b4e375","Middle",4.4,"N",205,12,"N","N",26,"Y",0,"N","Toronto"
"43c1d8c2","Middle",4.4,"N",432,15,"N","N",20,"Y",0,"N","Toronto"
"64e3a1ba","Bottom",5.2,"N",311,10,"N","Y",22,"Y",3,"N","Toronto"
"aa1d72a6","Middle",4.6,"N",242,19,"N","Y",22,"N",0,"N","Toronto"
"53f52fd8","Bottom",4.3,"N",242,11,"N","N",24,"N",2,"N","Toronto"
"75c641f3","Top",4.6,"N",273,15,"N","N",24,"Y",2,"N","New York"
"3c2d45cc","Middle",5.1,"N",288,11,"N","N",22,"Y",0,"N","New York"
"a9ab88e3","Bottom",4.4,"N",61,8,"N","N",20,"N",2,"N","Toronto"
"4ffffa9d","Middle",5.3,"N",121,10,"N","N",16,"N",0,"N","New York"
"d37e7c84","Middle",3.7,"N",220,17,"N","N",22,"N",2,"N","Toronto"
"e104e934","Middle",4.6,"N",174,15,"N","Y",20,"N",0,"Y","Houston"
"8141ad3e","Bottom",4.5,"N",235,9,"N","N",18,"Y",0,"N","Toronto"
"5a343b35","Middle",3.7,"N",205,9,"N","N",24,"N",3,"N","New York"
"c2ed12f0","Middle",5.1,"N",242,25,"N","N",36,"Y",0,"N","New York"
"63c5649d","Bottom",4.8,"N",174,12,"N","Y",14,"N",2,"N","Toronto"
"14a3d50d","Bottom",4.6,"N",197,10,"N","N",28,"Y",0,"N","Toronto"
"7dd7b85b","Middle",5,"N",167,14,"N","N",14,"N",2,"N","New York"
"bc82a988","Middle",4.2,"N",273,10,"N","Y",16,"Y",0,"N","Chicago"
"b4a7cd69","Bottom",5.7,"N",333,20,"Y","N",22,"N",0,"N","New York"
"38df15ce","Middle",4.5,"N",220,12,"N","N",28,"Y",0,"Y","Orlando"
"9274383d","Middle",5,"N",318,17,"N","N",20,"Y",0,"N","New York"
"60845764","Bottom",4.5,"N",114,13,"N","N",22,"Y",0,"N","New York"
"b6901f9b","Middle",4.6,"N",311,11,"N","N",16,"Y",0,"N","New York"
"f7073349","Middle",2.4,"Y",129,8,"N","N",36,"N",2,"N","New York"
"faf22ce9","Middle",5.1,"N",379,10,"N","N",16,"Y",0,"N","New York"
"00be1442","Middle",4.7,"N",303,11,"N","Y",28,"Y",0,"Y","Chicago"
"db037029","Middle",4,"N",250,12,"N","Y",18,"N",2,"N","Toronto"
"da5e8888","Middle",4.7,"N",333,9,"N","N",16,"N",2,"Y","San Francisco"
"93b6cfc1","Middle",4.7,"N",182,11,"N","N",16,"N",2,"N","Toronto"
"586eb60d","Middle",4.3,"N",98,11,"N","N",18,"N",0,"N","Toronto"
"2d54740d","Middle",4.4,"N",311,10,"N","N",24,"Y",0,"Y","Orlando"
"cb192603","Middle",4.4,"N",303,10,"N","N",12,"N",2,"N","Toronto"
"9b3dc002","Middle",4.5,"N",303,9,"N","Y",14,"N",3,"N","Toronto"
"fd3f0257","Middle",3.5,"N",311,11,"N","N",22,"Y",0,"N","New York"
"03a8743a","Middle",5.4,"N",265,9,"N","Y",26,"N",0,"Y","Chicago"
"90baa22b","Bottom",4.8,"N",341,9,"N","N",16,"N",2,"N","New York"
"7c04d967","Middle",4.8,"N",265,10,"N","N",22,"N",3,"Y","New York"
"0f2319ae","Middle",3.9,"N",379,11,"N","N",12,"N",0,"N","Chicago"
"4778d76c","Middle",4.4,"N",220,8,"N","N",18,"N",0,"Y","Chicago"
"f1c13d6c","Middle",4.8,"N",242,13,"N","N",36,"Y",0,"Y","Toronto"
"6f6a15c3","Middle",4.9,"N",227,14,"N","Y",28,"Y",3,"N","Toronto"
"f0560bcc","Middle",4.9,"N",303,11,"N","N",20,"N",0,"N","New York"
"811859c9","Bottom",5.4,"N",174,8,"Y","N",18,"N",0,"N","Toronto"
"bef20aa4","Middle",4.3,"N",333,17,"N","N",14,"N",0,"N","New York"
"25d23a7c","Middle",4.1,"N",174,12,"N","N",18,"Y",2,"N","New York"
"fef7fc93","Bottom",5.2,"N",242,13,"N","Y",28,"N",2,"N","Toronto"
"71aa7b78","Middle",4.4,"N",303,9,"N","N",18,"N",0,"N","Toronto"
"bb595127","Middle",4.2,"N",348,10,"N","N",22,"Y",3,"N","New York"
"abba9ca3","Middle",4.8,"N",227,11,"N","N",16,"Y",2,"Y","Toronto"
"3a1e550d","Middle",4.3,"N",242,6,"N","N",16,"N",0,"N","New York"
"5bc0968a","Middle",4.3,"N",311,12,"N","N",18,"N",2,"N","New York"
"f7314e66","Middle",4.8,"N",129,10,"N","N",26,"N",2,"Y","Toronto"
"28faeb10","Bottom",5.1,"N",98,10,"N","Y",16,"N",0,"Y","San Francisco"
"b80beef0","Middle",4.8,"N",333,11,"Y","Y",24,"N",2,"Y","Toronto"
"d2e27e4d","Middle",2.9,"Y",371,19,"N","N",18,"N",2,"N","Toronto"
"e1fe67f4","Middle",4.3,"N",167,17,"N","N",26,"N",0,"N","New York"
"2ba7657f","Top",4.9,"N",235,10,"N","Y",18,"N",0,"Y","Chicago"
"64c6833b","Middle",4.4,"N",333,13,"N","Y",16,"N",2,"N","Chicago"
"386b9dad","Bottom",4.8,"N",197,14,"N","Y",36,"Y",2,"Y","San Francisco"
"a8ca8a73","Middle",4.3,"N",265,11,"N","N",20,"N",0,"N","Toronto"
"2161245d","Middle",4.4,"N",242,11,"Y","Y",16,"N",2,"Y","Houston"
"049733ad","Middle",4.7,"N",379,11,"N","N",26,"Y",2,"N","Toronto"
"f04679c9","Middle",4.5,"N",311,16,"N","N",16,"Y",0,"N","New York"
"bf8c4621","Middle",3.4,"Y",288,9,"N","N",18,"N",0,"Y","Houston"
"906abfc7","Middle",4.7,"N",227,10,"Y","Y",16,"Y",0,"Y","San Francisco"
"81e18689","Middle",4.3,"N",212,13,"Y","N",26,"Y",2,"N","Toronto"
"fab3198a","Middle",4.1,"N",250,20,"N","N",28,"Y",2,"N","Toronto"
"948b1ace","Middle",4.4,"N",258,12,"N","N",18,"N",0,"N","New York"
"699e4d61","Middle",4.5,"N",189,9,"N","N",20,"N",0,"N","Toronto"
"97ccc01d","Middle",5.2,"N",250,12,"N","Y",16,"N",0,"N","Chicago"
"7b40afe7","Bottom",5.3,"N",273,10,"N","N",16,"N",2,"Y","San Francisco"
"0e51b4e7","Middle",4.6,"N",227,10,"N","N",22,"N",0,"N","New York"
"a046b1e6","Bottom",4.7,"N",152,10,"N","N",28,"N",0,"N","New York"
"065bef5c","Middle",4.6,"N",235,10,"N","N",22,"N",0,"N","Toronto"
"78c17ebb","Middle",4.2,"N",288,6,"N","N",14,"N",0,"N","Toronto"
"52fc4d27","Middle",4.8,"N",303,7,"N","N",14,"N",0,"N","New York"
"bf83b134","Middle",3.4,"N",341,11,"N","N",18,"N",0,"N","Toronto"
"a6b95dc0","Middle",5.3,"N",258,14,"N","Y",14,"N",0,"N","New York"
"51e27cfe","Bottom",3.6,"Y",98,8,"N","N",16,"N",0,"N","New York"
"f7a153a6","Bottom",3.7,"N",303,11,"N","N",18,"N",0,"N","Toronto"
"0ee2cf84","Middle",4.4,"N",106,7,"N","Y",20,"N",0,"N","New York"
"2e91c3cf","Middle",5,"N",220,8,"N","Y",14,"N",0,"Y","San Francisco"
"51532894","Middle",5.2,"N",288,13,"N","Y",16,"N",0,"N","New York"
"30192bf4","Middle",4.2,"N",182,8,"N","N",14,"N",0,"N","Chicago"
"d0711e00","Middle",4,"N",250,9,"N","N",30,"N",2,"Y","Houston"
"40e853ea","Middle",4.9,"N",227,13,"N","N",26,"Y",0,"N","Toronto"
"ce617d7d","Bottom",4.6,"N",136,11,"N","N",12,"N",0,"N","New York"
"13eee288","Middle",5.3,"N",280,11,"N","N",16,"N",2,"N","New York"
"10aeb364","Middle",4.8,"N",265,15,"N","N",22,"N",0,"N","New York"
"51e801e4","Middle",4.9,"N",159,12,"N","Y",20,"Y",0,"N","Toronto"
"3a3fed54","Middle",4.6,"N",197,8,"N","N",24,"Y",0,"N","New York"
"92c4acd3","Bottom",4.6,"N",318,11,"N","N",24,"Y",2,"Y","San Francisco"
"886e43ea","Bottom",4.8,"N",83,8,"N","N",18,"N",0,"N","New York"
"cdd744e7","Bottom",4.5,"N",144,9,"N","N",20,"N",0,"N","Toronto"
"1b32f3f5","Middle",3.9,"N",250,11,"N","N",14,"N",0,"N","Chicago"
"616e7dc0","Middle",5.1,"N",295,14,"N","Y",22,"Y",3,"N","Toronto"
"f436dc91","Middle",4.6,"N",326,13,"N","N",22,"Y",0,"N","Toronto"
"b6c48cdb","Middle",4.4,"N",212,12,"N","Y",16,"N",0,"Y","San Francisco"
"ce686d71","Middle",4.8,"N",174,10,"N","Y",18,"N",2,"Y","Orlando"
"dfc6a217","Middle",4.4,"N",174,15,"N","Y",16,"N",0,"N","Toronto"
"bd895489","Middle",4.3,"N",265,12,"N","N",18,"N",2,"N","Toronto"
"35c38582","Bottom",4.9,"N",212,13,"N","N",22,"N",2,"N","New York"
"df278b06","Middle",4.2,"N",227,13,"N","N",16,"N",0,"N","Toronto"
"dc87d51c","Middle",4.9,"N",417,10,"N","Y",16,"Y",2,"N","Chicago"
"eec4c425","Middle",4.3,"N",402,8,"N","N",14,"Y",0,"N","New York"
"88bd2854","Bottom",5.2,"N",356,11,"N","N",18,"Y",2,"Y","San Francisco"
"3d9e9752","Middle",4.9,"N",227,10,"N","N",16,"N",0,"N","New York"
"d550070a","Bottom",2.9,"Y",182,10,"N","N",30,"Y",0,"N","Toronto"
"c0acd456","Middle",4.5,"N",258,9,"N","Y",24,"N",0,"Y","Houston"
"9404cda9","Bottom",5.2,"N",364,17,"Y","N",20,"N",3,"Y","Houston"
"f350611d","Bottom",4.6,"N",197,11,"N","N",24,"N",2,"Y","Chicago"
"7b5cfcfd","Bottom",3.4,"N",220,11,"Y","Y",22,"N",2,"N","Orlando"
"8efedced","Middle",4.9,"N",333,10,"N","N",12,"N",0,"Y","San Francisco"
"77e0ae27","Middle",4.8,"N",258,15,"N","N",14,"N",0,"N","Toronto"
"b04e7a9f","Middle",4.3,"N",159,10,"N","N",20,"N",2,"N","Toronto"
"dd6bf9fb","Middle",4.2,"N",303,11,"N","N",20,"N",0,"N","New York"
"1963f987","Bottom",4.5,"N",303,12,"N","Y",16,"N",0,"Y","Toronto"
"ee6777fa","Middle",4.5,"N",167,10,"N","Y",24,"N",2,"Y","Toronto"
"f32c0cae","Top",4.5,"N",432,8,"N","Y",20,"Y",2,"N","Toronto"
"97793f7c","Middle",4.6,"N",205,11,"N","N",24,"N",2,"N","New York"
"9fd28b83","Middle",4.5,"N",295,12,"N","N",18,"Y",2,"N","Toronto"
"ff8d64bc","Middle",5.2,"N",250,12,"Y","N",18,"N",2,"N","Toronto"
"a1b4d288","Middle",4.5,"N",303,9,"N","N",20,"N",0,"N","Toronto"
"8ccbaff2","Middle",4.3,"N",288,10,"N","N",26,"Y",2,"N","Toronto"
"aaa3203e","Middle",5.1,"N",167,13,"Y","Y",28,"Y",3,"Y","Orlando"
"a0d860bf","Middle",4.9,"N",167,10,"N","N",22,"N",0,"N","Chicago"
"c0225fe1","Middle",3.9,"N",295,12,"N","N",20,"N",0,"N","New York"
"b3ed4375","Bottom",5.4,"N",386,11,"N","Y",22,"Y",0,"Y","Chicago"
"97c7c1b5","Middle",4.6,"N",136,10,"N","N",18,"N",2,"N","Toronto"
"3c528414","Bottom",4.7,"N",167,17,"N","N",18,"N",3,"N","New York"
"0b3f7c51","Top",3.8,"N",242,20,"N","N",16,"N",2,"N","New York"
"f7f9c622","Bottom",5.1,"N",379,14,"N","N",26,"Y",2,"N","New York"
"246b221c","Bottom",4.2,"N",303,17,"N","N",18,"N",2,"N","New York"
"7dd60ead","Middle",4.3,"N",189,11,"N","N",14,"N",0,"N","Toronto"
"94fab2bb","Top",4.8,"N",288,14,"N","Y",26,"Y",0,"Y","San Francisco"
"6f706192","Middle",5,"N",295,15,"N","N",22,"N",0,"N","New York"
"6ac38c5e","Middle",4.6,"N",318,9,"N","N",18,"N",2,"Y","San Francisco"
"7d8b89cf","Middle",4.8,"N",227,13,"Y","N",18,"Y",0,"N","New York"
"02cba29a","Middle",4.7,"N",379,15,"N","N",18,"N",2,"N","Toronto"
"336361fc","Top",4.7,"N",242,13,"N","N",26,"Y",0,"N","New York"
"26e1942e","Middle",4.1,"N",174,13,"N","Y",18,"N",0,"N","Toronto"
"3870bb30","Top",4.2,"N",394,11,"N","N",20,"Y",0,"N","Toronto"
"35a6eceb","Bottom",4.6,"N",280,10,"N","N",22,"Y",0,"N","New York"
"ed5b1361","Middle",4.8,"N",273,8,"N","N",18,"N",0,"Y","Chicago"
"8c86404d","Middle",4.5,"N",341,16,"N","Y",16,"Y",0,"N","New York"
"b286a11e","Middle",5,"N",250,11,"Y","Y",24,"N",0,"N","Chicago"
"ed2ad508","Middle",2.6,"Y",318,11,"N","N",22,"N",0,"Y","Houston"
"75b9faa4","Top",2,"Y",371,7,"N","N",16,"N",0,"N","Toronto"
"d500008c","Middle",5.5,"N",280,12,"Y","N",20,"N",0,"N","New York"
"4427aff6","Middle",4,"N",250,10,"N","N",18,"N",0,"N","Toronto"
"52b7c12e","Middle",4.6,"N",326,11,"Y","N",18,"N",0,"N","Toronto"
"0129f72f","Middle",4.8,"N",402,15,"N","N",30,"Y",0,"N","New York"
"314bc11c","Middle",4.3,"N",439,13,"Y","N",26,"Y",5,"N","New York"
"3de78aa1","Bottom",5.2,"N",159,10,"N","N",18,"N",2,"Y","Chicago"
"e41b2548","Middle",4.4,"N",273,11,"N","N",18,"N",0,"N","New York"
"20c1f2ab","Top",4.2,"N",424,10,"N","N",34,"Y",0,"N","New York"
"1a150568","Middle",5.4,"N",364,11,"Y","Y",28,"N",3,"Y","San Francisco"
"d0b458b0","Middle",4.4,"N",417,17,"N","N",40,"Y",2,"N","New York"
"7d8c51be","Middle",4.3,"N",242,10,"N","N",24,"N",0,"Y","Chicago"
"aa3a9fb5","Middle",5.2,"N",205,13,"N","N",20,"N",5,"N","Toronto"
"cd5064ed","Middle",4.7,"N",235,14,"N","N",18,"N",0,"N","Toronto"
"0a52817d","Bottom",4.1,"Y",227,11,"N","N",22,"Y",2,"N","New York"
"7c2f19f9","Middle",4.3,"N",235,10,"N","N",26,"N",2,"Y","New York"
"a56cb82f","Middle",5.2,"N",326,11,"N","N",16,"N",0,"N","Chicago"
"8948e057","Middle",5,"N",333,10,"N","N",34,"Y",0,"N","New York"
"161c4d66","Middle",4.7,"N",212,13,"N","Y",26,"N",2,"Y","Orlando"
"c8d3a9b4","Middle",4.7,"N",227,8,"N","N",26,"Y",0,"N","Toronto"
"0a096c9c","Middle",4.2,"N",212,12,"N","N",24,"N",0,"Y","San Francisco"
"0d3fab51","Middle",4.7,"N",326,11,"N","Y",30,"N",0,"Y","Chicago"
"2c218e8f","Middle",4.5,"N",295,13,"N","N",20,"N",2,"N","New York"
"d772499c","Top",4.7,"N",500,15,"N","N",26,"Y",0,"N","New York"
"9e9c8bfe","Bottom",4.7,"Y",364,21,"Y","N",30,"N",2,"N","New York"
"366b1d0f","Top",4.7,"N",273,19,"N","N",38,"Y",2,"N","New York"
"26fec077","Middle",4.3,"N",341,10,"N","Y",24,"N",2,"N","Chicago"
"340b1336","Bottom",4.8,"N",265,12,"N","N",16,"N",2,"N","Toronto"
"aac255af","Middle",4.9,"N",273,8,"N","N",22,"Y",0,"Y","Houston"
"4c594b79","Top",4.2,"N",348,11,"N","N",18,"Y",2,"N","New York"
"51b9f4c2","Bottom",2.8,"Y",152,9,"N","N",24,"N",0,"N","New York"
